damage,street_type,fire_unit,incident_start_date,structure_type,structure_category,roof_material,eaves,exterior_siding,window_pane,attached_patio_material,attached_fence_material,year_built
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Non Combustible,1982
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Asphalt,No Eaves,Ignition Resistant,Unknown,Unknown,Non Combustible,0
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Asphalt,Unknown,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,0
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Combustible,1945
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1957
Affected (1-9%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Combustible,1960
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Combustible,1964
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Combustible,1964
Affected (1-9%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,Combustible,1962
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Combustible,1961
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Combustible,1967
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Combustible,1961
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,Combustible,1961
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,Combustible,1962
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Combustible,1984
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Combustible,1984
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Combustible,1962
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1977
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Unknown,Combustible,1961
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1946
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1900
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1900
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,2003
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Enclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,Non Combustible,1900
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,No Eaves,Ignition Resistant,Single Pane,Combustible,No Fence,1973
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1973
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,Combustible,2015
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1976
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1976
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1945
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1945
Destroyed (>50%),,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1951
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Triple Wide,Single Residence,Asphalt,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1980
Destroyed (>50%),,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1990
Destroyed (>50%),,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Enclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1990
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1955
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1955
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Non Combustible,1945
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Combustible,Single Pane,Non Combustible,Combustible,1969
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Combustible,1969
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Enclosed,Combustible,Single Pane,Non Combustible,No Fence,1969
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1969
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,No Eaves,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1974
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1974
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1977
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1977
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1980
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unknown,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1985
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1987
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1988
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Enclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1970
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1970
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Enclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1970
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Unknown,No Patio Cover/Carport,Non Combustible,1970
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unknown,Combustible,Single Pane,Combustible,Non Combustible,1980
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1980
Destroyed (>50%),,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Enclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,2000
Destroyed (>50%),,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,2000
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1971
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1971
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Motor Home,Single Residence,Metal,No Eaves,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1971
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,No Eaves,Ignition Resistant,Single Pane,Non Combustible,Combustible,1969
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1969
Destroyed (>50%),,BTU,11/8/2018 12:00:00 AM,Mixed Commercial/Residential,Mixed Commercial/Residential,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1980
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1960
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Combustible,No Fence,1977
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1977
Affected (1-9%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,Combustible,1965
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1944
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Non Combustible,1978
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Non Combustible,1980
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1948
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,No Windows,No Patio Cover/Carport,Non Combustible,1948
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Non Combustible,1961
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1963
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Non Combustible,1966
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,No Windows,No Patio Cover/Carport,Non Combustible,2015
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Non Combustible,2015
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1949
Affected (1-9%),Lane,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1949
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1960
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1962
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Combustible,1991
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,No Windows,No Patio Cover/Carport,Non Combustible,1972
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1972
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unknown,Ignition Resistant,Multi Pane,Combustible,Combustible,1988
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Ignition Resistant,Multi Pane,Combustible,Combustible,1990
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1990
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1958
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1952
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1952
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1952
Destroyed (>50%),Avenue,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1977
Destroyed (>50%),Avenue,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Combustible,1991
Destroyed (>50%),Avenue,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Combustible,1992
Destroyed (>50%),Avenue,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Combustible,1990
Affected (1-9%),Avenue,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,No Windows,No Patio Cover/Carport,Combustible,1989
Destroyed (>50%),Avenue,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Combustible,1989
Destroyed (>50%),Avenue,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Combustible,1995
Destroyed (>50%),Avenue,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Combustible,1974
Destroyed (>50%),Avenue,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Combustible,1988
Destroyed (>50%),Avenue,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Non Combustible,1976
Destroyed (>50%),Avenue,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,Non Combustible,1978
Destroyed (>50%),Avenue,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,Combustible,1991
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Non Combustible,Combustible,1973
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,Combustible,1950
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Combustible,2016
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Non Combustible,No Fence,1947
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Non Combustible,No Fence,1953
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Combustible,1950
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Combustible,1988
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1989
